"","group","ADH1C","ANGPTL1","COL10A1","COL11A1","COL6A6","F12","FGF2","GJB2","HPGDS","MME","NR4A1","RPS24","SOX9","WNT11"
"GSM1045266","Tumor",2.0385602785542,2.06153507604552,2.7888648066635,1.7180894763604,2.07528234312603,2.95946729916656,2.47044494661414,2.01449485860391,2.24415886855236,4.05554259879606,3.5485724697985,6.56296282116804,4.70884199483034,2.03138668406866
"GSM1045267","Tumor",2.04065985371442,2.34846528930802,4.00043495406495,3.53443643787252,2.07528234312603,4.34131932451677,3.2136358880085,2.34246190427898,2.97969120365998,3.31286477657416,3.69291553804603,6.0840771109584,6.96722279088337,4.39588232070883
"GSM1045268","Tumor",2.0385602785542,2.06153507604552,8.50480671210442,8.86131784713924,2.07528234312603,5.73127987144106,2.47778460917695,6.63093315686282,4.07953535451375,3.30948523701165,6.86974303098495,6.28910230932287,2.88036127291554,2.21556501763054
"GSM1045270","Tumor",2.0385602785542,2.06153507604552,2.84658373360599,3.26862462721899,2.07528234312603,8.39477037181862,2.28749907615398,7.84625269379862,2.49909406796156,2.3955701514106,4.25597846231599,6.01038173264041,6.18780678171025,3.13322727507952
"GSM1045271","Tumor",2.0385602785542,2.06153507604552,5.96410571608807,6.08807108012098,2.08622354322599,7.14662935817113,2.34240306844631,5.99284893841181,2.79556500941472,3.2167225589577,5.21959565637646,6.99311980846073,4.9055133302754,2.45938645682876
"GSM1045273","Tumor",2.0385602785542,2.06153507604552,6.16472707266572,6.5838750982078,2.07528234312603,2.86954009726258,2.53879596021483,4.87498203623056,2.49909406796156,2.3955701514106,5.15982332255336,5.66667018499123,3.93608322254611,4.81309556948066
"GSM1045275","Tumor",2.58470736724906,2.06153507604552,5.66987332779565,6.94733118312613,2.07329406646209,6.87200864971643,2.47778460917695,5.57251885992052,2.39584348460699,2.23018924607917,3.50168795948037,7.21415617383446,6.56243531850529,2.03206998848121
"GSM1045276","Tumor",1.996380701968,2.09554613848986,7.88106814290034,8.79494291223261,2.06787829367633,3.91009281851245,2.47471408198226,5.89004259849471,2.81429451492937,2.78402197454562,4.39321399384484,4.67702493226437,3.17619516651802,2.36268354637225
"GSM1045277","Tumor",4.09917287924142,2.42125147949367,7.40378025309404,6.94982898871882,2.07528234312603,5.15565277047009,2.47778460917695,5.46115532928441,2.81429451492937,3.49337585299355,4.59982749647504,8.61783621225085,5.39979080477241,2.06439852477566
"GSM1045278","Tumor",3.27520242776742,2.24144818962403,6.54696317151824,6.85385633347497,3.2567609508615,5.21324734483786,2.53879596021483,5.74582824749295,2.89733408612151,2.3955701514106,4.26047482588705,8.40596194476798,3.91490906155673,3.62824778397624
"GSM1045280","Tumor",2.65675386339088,2.55716810905482,4.97817440668931,1.7639892409832,6.0212259656344,3.48322101999729,2.53879596021483,2.28828894075692,3.37762095020427,5.25815548716535,3.38146356393414,5.51881126044317,5.49916987608998,2.43550763372872
"GSM1045281","Tumor",2.00705192836829,2.06153507604552,4.68836942435565,3.81669809113255,3.16729774056413,5.55369805641538,2.53879596021483,3.39668057074164,2.27960640284753,2.49900611386092,4.13209390817791,7.15134035733181,5.14439185846607,2.16720706744738
"GSM1045284","Tumor",3.29025332324421,2.06153507604552,4.04032743744757,5.36448284293565,2.07528234312603,5.02905121471844,2.47778460917695,3.6833012226786,2.3905295309487,2.30804952726939,3.84031911686497,5.30927032277545,5.28782924074184,2.0302548663915
"GSM1045285","Tumor",3.19227434351329,2.62749377939869,3.55643287883354,5.46318881862649,4.29605638225411,6.76805611929048,3.84173282155969,3.68996244851468,3.41971334104569,3.35662067195061,3.98786050866643,6.15175392462787,5.59454506148105,3.03602786557515
"GSM1045288","Tumor",2.0385602785542,2.11106596717391,6.59810405753588,7.63946760880854,3.09670805278701,3.85074570183343,3.72677232980831,7.02733397704627,2.97969120365998,2.30804952726939,5.18431413043555,5.09416668590813,4.48163114381655,2.42920633795702
"GSM1045290","Tumor",2.15673699877652,2.06153507604552,5.54124592780591,8.56746387303927,2.09685518344553,3.37178309010103,2.47778460917695,4.89639046687237,4.18994664816378,5.75160847069539,5.81188173237275,5.98344967795918,4.81228740727039,4.0155957769002
"GSM1045292","Tumor",2.0385602785542,2.08750541668662,4.46565512356752,5.93257016872515,2.06787829367633,5.32297214039448,2.5680530078766,3.98060751731732,2.97969120365998,2.3955701514106,4.423657366118,6.07020073703537,5.19914101207664,3.80574899840903
