"Module"	"Gene1"	"Gene2"
"M1"	"NRCAM"	"POLR1D"
"M1"	"NRCAM"	"SLC3A2"
"M1"	"NRCAM"	"SKI"
"M1"	"NRCAM"	"ACTR8"
"M1"	"NRCAM"	"ERBB2"
"M1"	"NRCAM"	"PTP4A1"
"M1"	"NRCAM"	"RFXAP"
"M1"	"NRCAM"	"CSPG4"
"M1"	"NRCAM"	"SIRT2"
"M1"	"NRCAM"	"MSN"
"M1"	"NRCAM"	"ASB12"
"M1"	"NRCAM"	"ARF3"
"M1"	"NRCAM"	"ADAM22"
"M1"	"NRCAM"	"EAF2"
"M1"	"NRCAM"	"PPP2R5D"
"M1"	"NRCAM"	"KRT12"
"M1"	"NRCAM"	"MAGEF1"
"M1"	"NRCAM"	"LIN52"
"M1"	"NRCAM"	"ERCC8"
"M1"	"NRCAM"	"PRR7"
"M1"	"NRCAM"	"F2RL1"
"M1"	"SIT1"	"PLTP"
"M1"	"SIT1"	"FZD4"
"M1"	"SIT1"	"PHGDH"
"M1"	"CDC14B"	"EVC2"
"M1"	"CDC14B"	"ABCC4"
"M1"	"CDC14B"	"CAMK2B"
"M1"	"CDC14B"	"PTP4A1"
"M1"	"CDC14B"	"HCK"
"M1"	"SDC2"	"ATP7A"
"M1"	"SDC2"	"ARNTL2"
"M1"	"RAB39A"	"KLF13"
"M1"	"STXBP1"	"INADL"
"M1"	"STXBP1"	"MAP3K8"
"M1"	"STXBP1"	"EYA2"
"M1"	"STXBP1"	"USP7"
"M1"	"STXBP1"	"CLDN7"
"M1"	"STXBP1"	"MYO16"
"M1"	"STXBP1"	"HPRT1"
"M1"	"STXBP1"	"F10"
"M1"	"STXBP1"	"NEIL1"
"M1"	"STXBP1"	"CSRP3"
"M1"	"STXBP1"	"CTBS"
"M1"	"STXBP1"	"RAB5B"
"M1"	"STXBP1"	"PTP4A1"
"M1"	"STXBP1"	"TGFBRAP1"
"M1"	"STXBP1"	"CACNA1C"
"M1"	"STXBP1"	"ZNF219"
"M1"	"STXBP1"	"SLC25A4"
"M1"	"STXBP1"	"CDC14A"
"M1"	"STXBP1"	"PAX2"
"M1"	"STXBP1"	"UBE2D2"
"M1"	"STXBP1"	"GZMM"
"M1"	"STXBP1"	"DGCR14"
"M1"	"STXBP1"	"LIPG"
"M1"	"STXBP1"	"DCUN1D3"
"M1"	"STXBP1"	"SLC16A13"
"M1"	"STXBP1"	"CD22"
"M1"	"S100A14"	"SSTR1"
"M1"	"S100A14"	"USP22"
"M1"	"S100A14"	"FOLR3"
"M1"	"S100A14"	"PSMC5"
"M1"	"S100A14"	"ATP2A2"
"M1"	"MAP1B"	"ZCCHC11"
"M1"	"MAP1B"	"KLHDC9"
"M1"	"MAP1B"	"IL1RAP"
"M1"	"MAP1B"	"PTP4A1"
"M1"	"MAP1B"	"ARL5A"
"M1"	"MAP1B"	"UBE4A"
"M1"	"MAP1B"	"MAP3K1"
"M1"	"MAP1B"	"C10orf82"
"M1"	"MAP1B"	"STOML1"
"M1"	"MAP1B"	"TK1"
"M1"	"MAP1B"	"PDE8B"
"M1"	"MAP1B"	"DPH2"
"M1"	"MAP1B"	"DUSP15"
"M1"	"MAP1B"	"SLC22A5"
"M1"	"MAP1B"	"MRPL15"
"M1"	"EPHX1"	"PTP4A1"
"M1"	"EPHX1"	"ZBED5"
"M1"	"EPHX1"	"ACSM5"
"M1"	"EPHX1"	"MGST3"
"M1"	"EPHX1"	"JARID2"
"M1"	"EPHX1"	"ELAVL2"
"M1"	"DIO2"	"GPC3"
"M1"	"DIO2"	"NMT2"
"M1"	"DIO2"	"ABCA6"
"M1"	"PSMB5"	"COL2A1"
"M1"	"COPZ2"	"TRAF5"
"M1"	"COPZ2"	"HRH3"
"M1"	"COPZ2"	"FBXW11"
"M1"	"COPZ2"	"DNAJC11"
"M1"	"COPZ2"	"SLC3A2"
"M1"	"COPZ2"	"MSRB1"
"M1"	"COPZ2"	"FOLR3"
"M1"	"COPZ2"	"PODXL"
"M1"	"COPZ2"	"FMOD"
"M1"	"COPZ2"	"CSDE1"
"M1"	"UQCRC2"	"HOXC13"
"M1"	"UQCRC2"	"DAZAP1"
"M1"	"UQCRC2"	"RIMS1"
"M1"	"UQCRC2"	"RNF43"
"M1"	"UQCRC2"	"PPP1R37"
"M1"	"UQCRC2"	"SLC3A2"
"M1"	"UQCRC2"	"PFKP"
"M1"	"UQCRC2"	"ZNF682"
"M1"	"UQCRC2"	"BCAS1"
"M1"	"UQCRC2"	"SEC61A1"
"M1"	"UQCRC2"	"UBA2"
"M1"	"CENPC"	"RGS16"
"M1"	"OPRL1"	"GRB7"
"M1"	"OPRL1"	"LAMC1"
"M1"	"OPRL1"	"PPL"
"M1"	"OPRL1"	"ADRB2"
"M1"	"OPRL1"	"CDKN1C"
"M1"	"OPRL1"	"DUSP6"
"M1"	"ITGB7"	"ALOX15B"
"M1"	"ITGB7"	"PDE8B"
"M1"	"FAT1"	"PRLHR"
"M1"	"FAT1"	"ATR"
"M1"	"FAT1"	"SCNN1D"
"M1"	"FAT1"	"MAP3K1"
"M1"	"FAM96B"	"RGS2"
"M1"	"SHMT1"	"VLDLR"
"M1"	"SHMT1"	"ABCA6"
"M1"	"NFKBIB"	"PVRL4"
"M1"	"NFKBIB"	"PCCA"
"M1"	"RAB3IL1"	"ADRB2"
"M1"	"RAB3IL1"	"DHRS13"
"M1"	"FGF2"	"BLOC1S4"
"M1"	"FGF2"	"GJD4"
"M1"	"FGF2"	"PPAP2B"
"M1"	"FGF2"	"TMED1"
"M1"	"FGF2"	"FRS3"
"M1"	"FGF2"	"KLHL28"
"M1"	"FGF2"	"CDC42"
"M1"	"KCNB2"	"SRPX"
"M1"	"LMO4"	"FCGR2B"
"M1"	"LMO4"	"OSR1"
"M1"	"OPTN"	"MYH2"
"M1"	"OPTN"	"SERPINB1"
"M1"	"OPTN"	"LYL1"
"M1"	"OPTN"	"PDCD5"
"M1"	"OPTN"	"SNTA1"
"M1"	"OPTN"	"CBLL1"
"M1"	"OPTN"	"NVL"
"M1"	"OPTN"	"PTP4A1"
"M1"	"OPTN"	"CNTLN"
"M1"	"OPTN"	"MAPT"
"M1"	"OPTN"	"ACTR5"
"M1"	"OPTN"	"OMP"
"M1"	"OPTN"	"TOMM34"
"M1"	"F2R"	"DHRS13"
"M1"	"UQCRH"	"BGN"
"M1"	"SCIN"	"PPP1R10"
"M1"	"SCIN"	"GJD4"
"M1"	"SCIN"	"CCNF"
"M1"	"HMG20A"	"FCGRT"
"M1"	"HMG20A"	"CDO1"
"M1"	"CLEC17A"	"MEST"
"M1"	"CLEC17A"	"MT1E"
"M1"	"COL4A5"	"PGR"
"M1"	"COL4A5"	"TAF3"
"M1"	"COL4A5"	"CYBB"
"M1"	"COL4A5"	"NPHS2"
"M1"	"COL4A5"	"STAU1"
"M1"	"COL4A5"	"DUT"
"M1"	"COL4A5"	"LEFTY2"
"M1"	"COL4A5"	"TBC1D31"
"M1"	"MED20"	"PLA2G4A"
"M1"	"MED20"	"SGCE"
"M1"	"MED20"	"PLIN1"
"M1"	"RGS1"	"FCGR2B"
"M1"	"RGS1"	"CD99"
"M1"	"GNRH1"	"ST6GALNAC1"
"M1"	"GLI3"	"EIF4E3"
"M1"	"GLI3"	"ECHDC1"
"M1"	"GLI3"	"HMGB3"
"M1"	"GLI3"	"PPL"
"M1"	"GLI3"	"GPC3"
"M1"	"GLI3"	"PPAP2B"
"M1"	"GLI3"	"PHGDH"
"M1"	"GALNT14"	"DHRS13"
"M1"	"GOLGA7"	"BGN"
"M1"	"RBM5"	"VLDLR"
"M1"	"RBM5"	"GPX3"
"M1"	"CASP1"	"PID1"
"M1"	"CASP1"	"RHOU"
"M1"	"RGS2"	"LRP2"
"M1"	"RGS2"	"TTI1"
"M1"	"RGS2"	"RBL1"
"M1"	"CABP4"	"PDE8B"
"M1"	"LYVE1"	"HRH3"
"M1"	"LYVE1"	"RASD1"
"M1"	"LYVE1"	"AKAP11"
"M1"	"LYVE1"	"MTFR2"
"M1"	"LYVE1"	"RSL1D1"
"M1"	"LYVE1"	"ZADH2"
"M1"	"LYVE1"	"MSRB1"
"M1"	"LYVE1"	"TLE4"
"M1"	"LYVE1"	"PTP4A1"
"M1"	"LYVE1"	"SVIP"
"M1"	"LYVE1"	"L3MBTL1"
"M1"	"LYVE1"	"SFTPC"
"M1"	"LYVE1"	"RRP1"
"M1"	"OSM"	"FZD4"
"M1"	"OSM"	"PDE8B"
"M1"	"HOXC13"	"MT1E"
"M1"	"MORF4L1"	"PPAP2B"
"M1"	"MORF4L1"	"PDE8B"
"M1"	"RAMP2"	"EPPK1"
"M1"	"ZC3H13"	"ALOX15B"
"M1"	"ZC3H13"	"BIK"
"M1"	"ZC3H13"	"THYN1"
"M1"	"ZC3H13"	"PEMT"
"M1"	"WDR20"	"TPST2"
"M1"	"CYFIP2"	"SDC4"
"M1"	"CYFIP2"	"LONP1"
"M1"	"CYFIP2"	"DLK1"
"M1"	"CYFIP2"	"TERT"
"M1"	"CYFIP2"	"MAD2L2"
"M1"	"CYFIP2"	"EFEMP1"
"M1"	"CYFIP2"	"FABP5"
"M1"	"CYFIP2"	"HSPA2"
"M1"	"CYFIP2"	"TRIM3"
"M1"	"CYFIP2"	"TGFB1I1"
"M1"	"CYFIP2"	"PIK3CA"
"M1"	"CYFIP2"	"HIST1H3B"
"M1"	"CYFIP2"	"NKRF"
"M1"	"CYFIP2"	"KLHL1"
"M1"	"CYFIP2"	"BAZ1A"
"M1"	"CYFIP2"	"ATP5F1"
"M1"	"CYFIP2"	"TRHDE"
"M1"	"CYFIP2"	"TAPBP"
"M1"	"CYFIP2"	"PRX"
"M1"	"CYFIP2"	"MCFD2"
"M1"	"CYFIP2"	"SEL1L"
"M1"	"CYFIP2"	"CCR4"
"M1"	"CYFIP2"	"PTP4A1"
"M1"	"CYFIP2"	"FXYD6"
"M1"	"CYFIP2"	"CEACAM1"
"M1"	"CYFIP2"	"FBLN2"
"M1"	"CYFIP2"	"CDKN1C"
"M1"	"CYFIP2"	"PRAM1"
"M1"	"CYFIP2"	"MAST1"
"M1"	"CYFIP2"	"HPCAL4"
"M1"	"CYFIP2"	"RALGPS1"
"M1"	"CYFIP2"	"MRTO4"
"M1"	"CYFIP2"	"CDH4"
"M1"	"CYFIP2"	"SETD1A"
"M1"	"CYFIP2"	"OLIG3"
"M1"	"CYFIP2"	"NRXN1"
"M1"	"CYFIP2"	"UBE2R2"
"M1"	"CYFIP2"	"NDRG2"
"M1"	"CYFIP2"	"GPR26"
"M1"	"CYFIP2"	"PPFIA2"
"M1"	"CYFIP2"	"FZD8"
"M1"	"CYFIP2"	"AKT1"
"M1"	"CYFIP2"	"CETN2"
"M1"	"CYFIP2"	"PTPN4"
"M1"	"CYFIP2"	"LIMD1"
"M1"	"CYFIP2"	"CHRNA7"
"M1"	"CYFIP2"	"ZNF195"
"M1"	"CYFIP2"	"RBP2"
"M1"	"CYFIP2"	"DSG1"
