"PC-1"	"PC-2"	"Batch"	"Group"
"GSM1501855"	279.505919351917	4.17037165372634	"GSE61304"	"Tumor"
"GSM1501857"	282.91728200721	-0.939237357468846	"GSE61304"	"Tumor"
"GSM1501859"	283.208527529989	0.602818867623038	"GSE61304"	"Tumor"
"GSM1501860"	279.727349088061	2.03141299888439	"GSE61304"	"Tumor"
"GSM1501861"	281.702701677321	2.08459949363689	"GSE61304"	"Tumor"
"GSM1501864"	279.028780230237	-2.08377133234078	"GSE61304"	"Tumor"
"GSM1501866"	281.623691922534	3.88988629647397	"GSE61304"	"Tumor"
"GSM1501867"	281.551099268293	3.84359762167148	"GSE61304"	"Tumor"
"GSM1501868"	282.780861234354	1.09990196787299	"GSE61304"	"Tumor"
"GSM1501869"	281.212091165691	1.51543137950973	"GSE61304"	"Tumor"
"GSM1501870"	280.713799690022	-0.313203267920303	"GSE61304"	"Tumor"
"GSM1501871"	279.272405355787	2.37117061772675	"GSE61304"	"Tumor"
"GSM1501872"	279.709633678174	1.75446887333097	"GSE61304"	"Tumor"
"GSM1501874"	282.596787193339	-0.109937977768232	"GSE61304"	"Tumor"
"GSM1501875"	281.494500325257	4.59238667177511	"GSE61304"	"Tumor"
"GSM1501876"	279.817381373659	1.96525966319835	"GSE61304"	"Tumor"
"GSM1501879"	282.351564072341	8.97267337120292	"GSE61304"	"Normal"
