"","node1","node2","score"
"302","BGN","MFAP5",0.441
"303","BGN","COL15A1",0.461
"304","BGN","TAGLN",0.495
"305","BGN","THBS4",0.536
"306","BGN","CSGALNACT2",0.607
"307","BGN","SERPINH1",0.611
"308","BGN","CCN2",0.613
"309","BGN","COL16A1",0.621
"310","BGN","COL4A2",0.633
"311","BGN","OGN",0.636
"312","BGN","PRELP",0.681
"313","BGN","THBS2",0.693
"314","BGN","COL10A1",0.695
"315","BGN","COL4A1",0.763
"316","BGN","COL5A1",0.774
"317","BGN","TGFBI",0.821
"318","BGN","MFAP2",0.886
"319","BGN","FN1",0.995
"320","BHLHE40","EGR2",0.42
"321","BNC2","FBN1",0.541
"322","BST2","OAS3",0.653
"323","BST2","FCGR3B",0.427
"324","BST2","LY6E",0.539
"325","BST2","ITGAM",0.553
"326","BST2","TLR7",0.559
"327","BST2","IFI16",0.563
"328","BST2","IFI44L",0.684
"329","BST2","XAF1",0.696
"330","BST2","IFI44",0.708
"331","BST2","IFIT1",0.709
"332","BST2","IFI6",0.744
"333","BST2","IFITM1",0.81
"334","BST2","ISG15",0.845
"335","C1R","DCN",0.584
"336","C1R","PLAT",0.531
"337","C1R","C3",0.935
"338","C1R","SERPINF1",0.409
"339","C1R","CP",0.401
"340","C1R","LUM",0.409
"341","C1R","SERPING1",0.999
"342","C1R","COL1A2",0.409
"343","C1R","COL6A2",0.534
"344","C1R","C3AR1",0.591
"345","C1R","COL3A1",0.457
"346","C1R","FN1",0.616
"347","C1R","C5AR1",0.625
"348","C1R","MYOF",0.43
"349","C1R","C4BPA",0.543
"350","C1R","CFH",0.844
"351","C1R","VSIG4",0.446
"352","C1R","CFI",0.504
"353","C1R","C1S",0.999
"354","C1R","SERPINA1",0.402
"355","C1R","CFB",0.524
"356","C1R","NNMT",0.499
"357","C1S","DCN",0.608
"358","C1S","PLAT",0.579
"359","C1S","LOX",0.481
"360","C1S","C3",0.908
"361","C1S","SERPINF1",0.485
"362","C1S","LUM",0.458
"363","C1S","SERPING1",0.999
"364","C1S","COL6A2",0.542
"365","C1S","C3AR1",0.606
"366","C1S","COL3A1",0.467
"367","C1S","FN1",0.468
"368","C1S","C5AR1",0.659
"369","C1S","C4BPA",0.705
"370","C1S","CFH",0.744
"371","C1S","VSIG4",0.471
"372","C1S","CFI",0.463
"373","C1S","SERPINA1",0.444
"374","C1S","CFB",0.617
"375","C3","PLAT",0.446
"376","C3","SERPINE1",0.441
"377","C3","COL1A1",0.512
"378","C3","TREM2",0.413
"379","C3","F13A1",0.418
"380","C3","GJA1",0.421
"381","C3","FCGR2B",0.428
"382","C3","IL18",0.43
"383","C3","FCGR1A",0.436
"384","C3","PXDN",0.461
"385","C3","PRELP",0.469
"386","C3","SERPINF1",0.47
"387","C3","THBS2",0.501
"388","C3","MMP7",0.516
"389","C3","TLR2",0.533
"390","C3","LUM",0.54
"391","C3","IFITM1",0.571
"392","C3","RBMS1",0.598
"393","C3","PLAUR",0.609
"394","C3","FN1",0.623
"395","C3","FCGR3B",0.646
"396","C3","PLAU",0.707
"397","C3","CP",0.751
"398","C3","CXCL8",0.783
"399","C3","F3",0.803
"400","C3","C4BPA",0.817
"401","C3","SERPINA1",0.859
"402","C3","SERPING1",0.954
"403","C3","C5AR1",0.977
"404","C3","C3AR1",0.998
"405","C3","CFI",0.999
"406","C3","ITGAM",0.999
"407","C3","VSIG4",0.999
"408","C3","CFH",0.999
"409","C3","CFB",0.999
"410","C3AR1","IL1RN",0.408
"411","C3AR1","TLR2",0.753
"412","C3AR1","SERPING1",0.636
"413","C3AR1","CXCL3",0.414
"414","C3AR1","TLR7",0.406
"415","C3AR1","MNDA",0.458
"416","C3AR1","FCGR3B",0.465
"417","C3AR1","IFI44",0.504
"418","C3AR1","TREM2",0.538
"419","C3AR1","CFB",0.541
"420","C3AR1","FCGR1A",0.569
"421","C3AR1","NCF2",0.604
"422","C3AR1","FCGR2B",0.635
"423","C3AR1","ITGAM",0.739
"424","C3AR1","CFH",0.777
"425","C3AR1","VSIG4",0.783
"426","C3AR1","CXCL8",0.796
"427","C3AR1","C5AR1",0.987
"428","C4BPA","SERPING1",0.535
"429","C4BPA","SERPINA1",0.401
"430","C4BPA","S100A6",0.437
"431","C4BPA","CFH",0.442
"432","C4BPA","S100A10",0.517
"433","C4BPA","CFB",0.628
"434","C4BPA","PROS1",0.801
"435","C4BPA","CFI",0.816
"436","C5AR1","COL1A1",0.437
"437","C5AR1","TREM1",0.485
"438","C5AR1","TLR2",0.922
"439","C5AR1","SERPING1",0.756
"440","C5AR1","IGFBP7",0.404
"441","C5AR1","COL1A2",0.426
"442","C5AR1","CXCL8",0.789
"443","C5AR1","F3",0.45
"444","C5AR1","PLAUR",0.475
"445","C5AR1","CD14",0.426
"446","C5AR1","CFI",0.428
"447","C5AR1","NCF2",0.472
"448","C5AR1","FCGR2B",0.526
"449","C5AR1","VSIG4",0.556
"450","C5AR1","FCGR1A",0.572
"451","C5AR1","FCGR3B",0.657
"452","C5AR1","CFH",0.669
"453","C5AR1","CFB",0.68
"454","C5AR1","ITGAM",0.822
"455","CAPG","GPNMB",0.439
"456","CAPG","CRIP1",0.598
"457","CCDC102B","FHL2",0.446
"458","CCL20","TIMP1",0.651
"459","CCL20","CXCL6",0.836
"460","CCL20","LOX",0.489
"461","CCL20","TNFAIP6",0.4
"462","CCL20","PI3",0.471
"463","CCL20","LIF",0.653
"464","CCL20","CHI3L1",0.503
"465","CCL20","IL1RN",0.67
"466","CCL20","TLR2",0.608
"467","CCL20","VCAN",0.433
"468","CCL20","IL18",0.752
"469","CCL20","CXCL3",0.951
"470","CCL20","CXCL8",0.941
"471","CCL20","MMP1",0.678
"472","CCL20","IL1R2",0.642
"473","CCL20","CXCL14",0.507
"474","CCL20","FCGR3B",0.42
"475","CCL20","TNFSF11",0.452
"476","CCL20","TLR7",0.502
"477","CCL20","IGFBP3",0.511
"478","CCL20","FCGR1A",0.511
"479","CCL20","ITGAM",0.519
"480","CCN2","SNAI2",0.525
"481","CCN2","DCN",0.939
"482","CCN2","TIMP1",0.816
"483","CCN2","PLAT",0.496
"484","CCN2","COMP",0.4
"485","CCN2","HGF",0.593
"486","CCN2","SERPINE1",0.819
"487","CCN2","COL1A1",0.876
"488","CCN2","MGP",0.43
"489","CCN2","HBEGF",0.525
"490","CCN2","LOX",0.763
"491","CCN2","SPARC",0.764
"492","CCN2","TWIST1",0.452
"493","CCN2","PXDN",0.675
"494","CCN2","SERPINF1",0.474
"495","CCN2","MMP7",0.448
"496","CCN2","PDGFRB",0.671
"497","CCN2","LOXL1",0.417
"498","CCN2","LTBP2",0.417
"499","CCN2","NOX4",0.608
"500","CCN2","VCAN",0.407
"501","CCN2","WNT2",0.421
"502","CCN2","TIMP3",0.735
"503","CCN2","LUM",0.525
"504","CCN2","CDH11",0.453
"505","CCN2","GJA1",0.516
"506","CCN2","THY1",0.646
"507","CCN2","COL6A3",0.603
"508","CCN2","FSTL1",0.489
"509","CCN2","IGFBP7",0.921
"510","CCN2","COL1A2",0.835
"511","CCN2","COL6A2",0.559
"512","CCN2","COL3A1",0.782
"513","CCN2","CXCL8",0.535
"514","CCN2","MMP1",0.57
"515","CCN2","FBN1",0.797
"516","CCN2","F3",0.426
"517","CCN2","FN1",0.963
"518","CCN2","COL4A2",0.5
"519","CCN2","TGM2",0.407
"520","CCN2","THBS2",0.551
"521","CCN2","SERPINE2",0.402
"522","CCN2","S100A6",0.403
"523","CCN2","EFEMP1",0.411
"524","CCN2","DKK1",0.473
"525","CCN2","PLAU",0.48
"526","CCN2","TPM2",0.504
"527","CCN2","TGFBI",0.511
"528","CCN2","MFAP2",0.523
"529","CCN2","S100A4",0.529
"530","CCN2","COL4A1",0.611
"531","CCN2","ITGAM",0.614
"532","CCN2","SERPINH1",0.63
"533","CCN2","COL5A1",0.658
"534","CCN2","IGFBP3",0.678
"535","CCN2","TAGLN",0.756
"536","CCN4","DCN",0.766
"537","CCN4","COL1A1",0.477
"538","CCN4","SPARC",0.492
"539","CCN4","FN1",0.427
"540","CCN4","SFRP4",0.445
"541","CCN4","COL3A1",0.484
"542","CCN4","FRZB",0.506
"543","CCN4","WNT2",0.507
"544","CCN4","COL10A1",0.521
"545","CCN4","DKK1",0.523
"546","CD14","TLR2",0.992
"547","CD14","FSTL1",0.609
"548","CD14","MNDA",0.42
"549","CD14","FCGR1A",0.415
"550","CD14","VSIG4",0.432
"551","CD14","TLR7",0.502
"552","CD14","FCGR3B",0.504
"553","CD14","ITGAM",0.75
"554","CDH11","SNAI2",0.549
"555","CDH11","DCN",0.549
"556","CDH11","FAP",0.432
"557","CDH11","COL1A1",0.64
"558","CDH11","LAMA4",0.617
"559","CDH11","SPARC",0.497
"560","CDH11","TWIST1",0.477
"561","CDH11","SULF1",0.464
"562","CDH11","COL8A1",0.421
"563","CDH11","PDGFRB",0.47
"564","CDH11","LTBP2",0.421
"565","CDH11","LUM",0.526
"566","CDH11","CTSK",0.403
"567","CDH11","COL4A1",0.419
"568","CDH11","THY1",0.475
"569","CDH11","THBS2",0.489
"570","CDH11","GJA1",0.507
"571","CDH11","FBN1",0.53
"572","CDH11","COL6A3",0.537
"573","CDH11","COL5A1",0.648
"574","CDH11","FN1",0.664
"575","CDH11","COL1A2",0.693
"576","CDH11","COL3A1",0.695
"577","CFB","COL8A1",0.429
"578","CFB","CP",0.513
"579","CFB","TIMP3",0.422
"580","CFB","SERPING1",0.88
"581","CFB","FN1",0.523
"582","CFB","CFH",0.961
"583","CFB","HTRA1",0.556
"584","CFB","CFI",0.97
"585","CFB","SERPINA1",0.725
"586","CFB","ISG15",0.489
"587","CFH","PCOLCE",0.461
"588","CFH","SERPINF1",0.427
"589","CFH","COL8A1",0.47
"590","CFH","CP",0.616
"591","CFH","TIMP3",0.684
"592","CFH","SERPING1",0.722
"593","CFH","COL6A2",0.431
"594","CFH","CXCL8",0.403
"595","CFH","F3",0.676
"596","CFH","PLAUR",0.56
"597","CFH","FN1",0.587
"598","CFH","TGFBI",0.464
"599","CFH","VSIG4",0.581
"600","CFH","PLAU",0.601
"601","CFH","SERPINA1",0.651
"602","CFH","HTRA1",0.781
"603","CFH","EFEMP1",0.786
"604","CFH","CFI",0.999
"605","CFI","CHI3L1",0.419
"606","CFI","CP",0.443
"607","CFI","SERPING1",0.634
"608","CFI","F3",0.609
"609","CFI","PLAUR",0.551
"610","CFI","PLAU",0.635
"611","CFI","SERPINA1",0.584
"612","CH25H","PTGIS",0.704
"613","CH25H","ISG15",0.439
"614","CHI3L1","TIMP1",0.511
"615","CHI3L1","COMP",0.475
"616","CHI3L1","SERPINE1",0.408
"617","CHI3L1","RGS4",0.401
"618","CHI3L1","FN1",0.406
"619","CHI3L1","MMP7",0.406
"620","CHI3L1","IL18",0.416
"621","CHI3L1","THBS2",0.461
"622","CHI3L1","MMP1",0.51
"623","CHI3L1","CXCL8",0.524
"624","CHI3L1","TREM2",0.567
"625","CHSY1","DCN",0.733
"626","CHSY1","VCAN",0.551
"627","CHSY1","CSGALNACT2",0.943
"628","CLEC4A","FCGR1A",0.406
"629","CLEC4A","NCF2",0.422
"630","CLEC4A","FCGR3B",0.434
"631","CLEC4A","FCGR2B",0.441
"632","CLEC4A","ITGAM",0.53
"633","CLEC4A","MNDA",0.533
"634","CLEC4A","TLR7",0.541
"635","CLEC4A","CLEC5A",0.564
"636","CLEC4A","TLR2",0.711
"637","CLEC5A","TREM1",0.777
"638","CLEC5A","TLR2",0.515
"639","CLEC5A","OLR1",0.5
"640","CLEC5A","FCGR1A",0.468
"641","CLEC5A","TREM2",0.538
"642","CLEC5A","VSIG4",0.451
"643","CLEC5A","FCGR3B",0.578
"644","CLEC5A","ITGAM",0.509
"645","COL10A1","DCN",0.447
"646","COL10A1","COMP",0.768
"647","COL10A1","COL1A1",0.781
"648","COL10A1","SPARC",0.44
"649","COL10A1","TWIST1",0.475
"650","COL10A1","SULF1",0.521
"651","COL10A1","COL8A1",0.781
"652","COL10A1","NOX4",0.573
"653","COL10A1","TIMP3",0.414
"654","COL10A1","CTSK",0.488
"655","COL10A1","FRZB",0.404
"656","COL10A1","COL6A3",0.536
"657","COL10A1","COL1A2",0.755
"658","COL10A1","COL14A1",0.568
"659","COL10A1","COL6A2",0.651
"660","COL10A1","COL3A1",0.762
"661","COL10A1","MMP1",0.618
"662","COL10A1","GREM1",0.403
"663","COL10A1","OMD",0.434
"664","COL10A1","SFRP4",0.464
"665","COL10A1","COL16A1",0.512
"666","COL10A1","THBS2",0.568
"667","COL10A1","COL5A1",0.577
"668","COL10A1","COL4A5",0.591
"669","COL10A1","FN1",0.602
"670","COL10A1","COL15A1",0.638
"671","COL10A1","COL4A1",0.644
"672","COL10A1","SERPINH1",0.774
"673","COL10A1","COL4A2",0.823
"674","COL14A1","DCN",0.937
"675","COL14A1","NID2",0.438
"676","COL14A1","MXRA5",0.449
"677","COL14A1","LAMB1",0.624
"678","COL14A1","PCOLCE",0.465
"679","COL14A1","COL1A1",0.783
"680","COL14A1","LAMA4",0.543
"681","COL14A1","COL8A1",0.614
"682","COL14A1","LUM",0.726
"683","COL14A1","COL6A3",0.607
"684","COL14A1","COL1A2",0.788
"685","COL14A1","THBS4",0.411
"686","COL14A1","ZCCHC24",0.434
"687","COL14A1","THBS2",0.505
"688","COL14A1","COL4A5",0.514
"689","COL14A1","FBN1",0.522
"690","COL14A1","LAMA2",0.535
"691","COL14A1","COL4A1",0.566
"692","COL14A1","COL4A2",0.67
"693","COL14A1","SERPINH1",0.691
"694","COL14A1","COL3A1",0.701
"695","COL14A1","PRELP",0.732
"696","COL14A1","FN1",0.74
"697","COL14A1","COL15A1",0.779
"698","COL14A1","OGN",0.782
"699","COL14A1","COL5A1",0.786
"700","COL14A1","COL6A2",0.799
"701","COL14A1","COL16A1",0.874
"702","COL15A1","DCN",0.472
"703","COL15A1","NID2",0.545
"704","COL15A1","MXRA5",0.501
"705","COL15A1","LAMB1",0.631
"706","COL15A1","PCOLCE",0.453
"707","COL15A1","COL1A1",0.713
"708","COL15A1","LAMA4",0.582
"709","COL15A1","ISLR",0.403
"710","COL15A1","MMP7",0.51
"711","COL15A1","COL8A1",0.801
"712","COL15A1","LUM",0.594
"713","COL15A1","CTSK",0.471
"714","COL15A1","COL6A3",0.689
"715","COL15A1","COL1A2",0.702
"716","COL15A1","COL6A2",0.777
"717","COL15A1","COL3A1",0.791
"718","COL15A1","FBN1",0.535
"719","COL15A1","COL4A5",0.767
"720","COL15A1","CTSB",0.597
"721","COL15A1","FN1",0.567
"722","COL15A1","COL4A2",0.777
"723","COL15A1","THBS2",0.612
"724","COL15A1","COL5A1",0.793
"725","COL15A1","COL16A1",0.579
"726","COL15A1","OGN",0.408
"727","COL15A1","LAMA2",0.476
"728","COL15A1","COL4A1",0.74
"729","COL15A1","SERPINH1",0.766
"730","COL16A1","LAMB1",0.431
"731","COL16A1","PCOLCE",0.412
"732","COL16A1","COL1A1",0.756
"733","COL16A1","LAMA4",0.514
"734","COL16A1","LOX",0.403
"735","COL16A1","COL8A1",0.583
"736","COL16A1","LTBP2",0.476
"737","COL16A1","TIMP3",0.472
"738","COL16A1","LUM",0.739
"739","COL16A1","THY1",0.444
"740","COL16A1","COL6A3",0.75
"741","COL16A1","COL1A2",0.822
"742","COL16A1","COL6A2",0.772
"743","COL16A1","COL3A1",0.828
"744","COL16A1","FBN1",0.633
"745","COL16A1","COL4A5",0.717
"746","COL16A1","FN1",0.4
"747","COL16A1","COL4A2",0.759
"748","COL16A1","THBS2",0.566
"749","COL16A1","COL5A1",0.818
"750","COL16A1","LAMA2",0.454
"751","COL16A1","SERPINH1",0.62
"752","COL16A1","COL4A1",0.653
"753","COL1A1","SNAI2",0.661
"754","COL1A1","DCN",0.923
"755","COL1A1","FAP",0.573
"756","COL1A1","NID2",0.643
"757","COL1A1","MXRA5",0.649
"758","COL1A1","TIMP1",0.842
"759","COL1A1","COMP",0.636
"760","COL1A1","LAMB1",0.734
"761","COL1A1","PCOLCE",0.813
"762","COL1A1","SERPINE1",0.643
"763","COL1A1","CXCL8",0.408
"764","COL1A1","NOX4",0.41
"765","COL1A1","PLAU",0.411
"766","COL1A1","ITGAM",0.414
"767","COL1A1","MXRA8",0.417
"768","COL1A1","IGFBP7",0.417
"769","COL1A1","TGFB1I1",0.421
"770","COL1A1","MFAP2",0.421
"771","COL1A1","HTRA1",0.44
"772","COL1A1","IFIT1",0.453
"773","COL1A1","MMP10",0.453
"774","COL1A1","GJA1",0.456
"775","COL1A1","CXCL3",0.474
"776","COL1A1","THBS4",0.477
"777","COL1A1","CXCL6",0.484
"778","COL1A1","DKK1",0.499
"779","COL1A1","LAMA2",0.508
"780","COL1A1","TWIST1",0.509
"781","COL1A1","TGM2",0.51
"782","COL1A1","GREM1",0.512
"783","COL1A1","MYL9",0.517
"784","COL1A1","OGN",0.528
"785","COL1A1","SFRP4",0.534
"786","COL1A1","LTBP2",0.543
"787","COL1A1","MGP",0.552
